,sample,strain,ref_file,condition,fastq1,fastq2,growth_media,og_strains,day,well
110,D6-DAY1_S68,B8,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/B8_pilon_round_4_annotated.gbk,strict,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D6-DAY1_S68/B8.strict_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D6-DAY1_S68/B8.strict_R2.fastq.gz,PH,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",1,D6
111,D6-DAY1_S68,B8,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/B8_pilon_round_4_annotated.gbk,permissive,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D6-DAY1_S68/B8.permissive_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D6-DAY1_S68/B8.permissive_R2.fastq.gz,PH,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",1,D6
112,D6-DAY1_S68,D2,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/D2_pilon_round_4_annotated.gbk,strict,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D6-DAY1_S68/D2.strict_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D6-DAY1_S68/D2.strict_R2.fastq.gz,PH,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",1,D6
113,D6-DAY1_S68,D2,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/D2_pilon_round_4_annotated.gbk,permissive,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D6-DAY1_S68/D2.permissive_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D6-DAY1_S68/D2.permissive_R2.fastq.gz,PH,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",1,D6
114,D6-DAY1_S68,C5,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/C5_pilon_round_4_annotated.gbk,strict,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D6-DAY1_S68/C5.strict_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D6-DAY1_S68/C5.strict_R2.fastq.gz,PH,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",1,D6
115,D6-DAY1_S68,C5,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/C5_pilon_round_4_annotated.gbk,permissive,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D6-DAY1_S68/C5.permissive_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D6-DAY1_S68/C5.permissive_R2.fastq.gz,PH,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",1,D6
116,D6-DAY1_S68,E3,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/E3_pilon_round_4_annotated.gbk,strict,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D6-DAY1_S68/E3.strict_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D6-DAY1_S68/E3.strict_R2.fastq.gz,PH,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",1,D6
117,D6-DAY1_S68,E3,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/E3_pilon_round_4_annotated.gbk,permissive,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D6-DAY1_S68/E3.permissive_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D6-DAY1_S68/E3.permissive_R2.fastq.gz,PH,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",1,D6
118,D7-DAY1_S70,B8,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/B8_pilon_round_4_annotated.gbk,strict,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D7-DAY1_S70/B8.strict_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D7-DAY1_S70/B8.strict_R2.fastq.gz,CHL,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",1,D7
119,D7-DAY1_S70,B8,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/B8_pilon_round_4_annotated.gbk,permissive,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D7-DAY1_S70/B8.permissive_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D7-DAY1_S70/B8.permissive_R2.fastq.gz,CHL,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",1,D7
120,D7-DAY1_S70,C5,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/C5_pilon_round_4_annotated.gbk,strict,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D7-DAY1_S70/C5.strict_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D7-DAY1_S70/C5.strict_R2.fastq.gz,CHL,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",1,D7
121,D7-DAY1_S70,C5,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/C5_pilon_round_4_annotated.gbk,permissive,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D7-DAY1_S70/C5.permissive_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D7-DAY1_S70/C5.permissive_R2.fastq.gz,CHL,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",1,D7
122,D7-DAY1_S70,E3,/scicore/home/nimwegen/bojani0000/Gene_clustering_algorithms/pan-genome-analysis/data/E_coli_backup4/input_GenBank/E3_pilon_round_4_annotated.gbk,strict,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D7-DAY1_S70/E3.strict_R1.fastq.gz,/scicore/home/nimwegen/bojani0000/20260806-dna-rna-deconvolution-pipeline/breseq_strain_assignment_pipeline/OUTPUT_breseq_assignment/fastq/D7-DAY1_S70/E3.strict_R2.fastq.gz,CHL,"['K12', 'B8', 'D2', 'C5', 'H1', 'D5', 'E3']",1,D7
